actual_stars,predicted_stars,explanation,review
5,4,"The review is overwhelmingly positive, praising multiple dishes (chopped salad, bread pudding) and the service. While there's a minor critique about the mushrooms initially tasting bland, the reviewer acknowledges this was due to the preceding salad and appreciated them later. The additional details about the drinks selection further contribute to a positive experience.","Tried the Restaurant Week special, and chose the Stetson chopped salad, mixed mushrooms with polenta..."
4,5,"Extremely positive language, multiple enthusiastic compliments about the food and atmosphere.","Yum! Delicious tasting pizza, a wonderful atmosphere, and oh those  Nutella crepes are devine!"
4,4,"Generally positive review. Highlights large portion size, friendly staff, and good sandwich quality. 'Just good' prevents a 5-star rating.","I had a chicken panini and was more than enough! It was dinner and lunch!

They have this special br..."
4,4,"The review is largely positive, highlighting several excellent dishes (Pate Chaude, crispy rolls) and a pleasant atmosphere. While there are criticisms regarding slow service and some basic dishes, the author explicitly states a 4-star rating and intends to return, indicating overall satisfaction.","I have to admit: I am impressed.

I have been to a few vegan-only-menu restaurants and I was... unde..."
4,4,"The review is overwhelmingly positive, highlighting multiple aspects the reviewer enjoys (wifi, coffee, decor, music, staff, ambience). The mention of 'Like the 4 stars say...' confirms the intended rating. While not ecstatic like a 5-star review, it's a strong endorsement.","I am a huge fan of local coffee shops with free wifi. I am also a huge fan of iced lattes. I know, h..."
4,4,"The review acknowledges the steak isn't exceptional but heavily emphasizes the overall atmosphere and 'cool' factor of the restaurant, leading to a positive overall impression.","OK, let's face it: there are better steaks in the Valley. As a matter of fact, if you just took the ..."
5,4,"Generally positive review highlighting good features (grass, crowd, amenities). The complaint about some dogs/owners is a negative, but presented with humor and doesn't overshadow the overall positive experience. The final sentence reinforces a positive outcome.","This is a great dog park.  Plenty of grass to run around on, and there is always a good crowd to pla..."
5,5,"Extremely positive language, strong endorsement ('best ever'), and detailed praise for the barber and service. The reviewer expresses a complete change in perspective and loyalty.",This has got to be the best barber shop I've ever been to in my 38 years on this planet.  I was alwa...
4,4,"The review highlights multiple positives (good price, non-pushy service, gas discount, senior discount) and no negatives. 'Decent' is positive enough to indicate a good experience, even if not exceptional.",Got a pretty decent HAND car wash for $15.00.  They asked about extras but weren't pushy about it.  ...
4,4,"Positive sentiment, highlights freshness and a positive comparison to a well-regarded food destination.",Home made fresh noodles.  Reminds me of San Francisco china town food.
3,4,"Positive experience finding a needed item and good pricing, despite the store being different than expected. Recommends checking it even for regular HD shoppers.","This really is more of a lady's hardware store with more design/decorating stuff, small appliances, ..."
4,4,"Positive experience described with enthusiastic language (""great wine bar"", ""so good""). Minor negative (can't remember names) is outweighed by the overall positive sentiment and cozy atmosphere.",I found this on yelp and what a great wine bar! I went here last night after work with friends and w...
3,2,"The review is largely negative, highlighting bland food, slow service, and ultimately recommending skipping the place. While there's a small positive about the omelet customization, it's outweighed by the criticisms.","The very definition of an average brunch.  My omelet was pretty decent, and it's nice that they let ..."
3,3,"The review is a simple comparison, implying similarity to another established (and generally well-regarded) chain. It's neither strongly positive nor negative, suggesting an average experience.",Glorified Pei Wei
5,5,"The review is overwhelmingly positive, detailing a pleasant experience with food, service, atmosphere, and even restroom cleanliness. The author expresses a strong intention to return and recommends the restaurant to others.","Another great Italian find!

My BF and I went to Roma Garden for dinner last night because he was gi..."
4,4,"Generally positive review highlighting good coffee, pleasant atmosphere, and exceptionally friendly staff. While not overwhelmingly enthusiastic, the reviewer expresses a desire to return.","I'm not a coffee snob, but I love a good Americano.  

This place has the charm you'd expect from a ..."
5,5,"Extremely positive language, exceeding expectations, enthusiastic recommendation, and mentions value for money.",Went here while on vacation in Phoneix based on seeing it on Man vs Food. Could not have been more i...
4,4,"Overwhelmingly positive review with specific details about amenities and room comfort. The only negative is a minor issue with the pool size, preventing a 5-star rating.","The Hyatt Place Scottsdale is a hidden jewel in old town, just off the main drag this place is perfe..."
4,4,"Consistently positive aspects (clean, well-stocked, short lines) indicate a good experience, though lacking strong enthusiasm for a 5-star rating.",This is my neighborhood grocery store. It's at the two locations I shop at most. It's always clean a...
4,4,"Mixed experience with excellent aspects (Chicken Corfu, location, service recovery) outweighing the negative (dry Gyro). Overall positive and includes a recommendation.",Some of the food here is fantastic such as the Chicken Corfu $14.95 and others like the Gyro I found...
2,2,"The review is highly critical of the price despite acknowledging the good taste and selection. The strong negative sentiment towards the value for money outweighs the positive aspects, leading to a low rating.","If you have $6 burning a hole in your pocket, and would like a thimble full of ice cream, this is yo..."
4,4,"Mostly positive review with specific praise for atmosphere, beer, and some food items. Minor criticisms (wine, cheese plate, loud music) are present but don't outweigh the positives. Acceptable service adds to the positive experience.",Loved the atmosphere most of all.  This is a converted bungalow house that should set an example for...
5,5,"Extremely enthusiastic and positive review, praising the venue and owner. Strong recommendation and a call to support the business.","This is the new mecca of Phoenix music. 

Charlie Levy who booked for the now legendary Nita's Hidea..."
4,5,"Extremely positive language, multiple compliments (food, wine, coffee, smoothies, atmosphere, entertainment), and a strong recommendation. The reviewer explicitly states they 'won't be disappointed'.",This is a really nice coffee shop and restaurant tucked away in a corner toward the east end of City...
4,3,"The review is mixed. The author enjoyed some dishes immensely, but their mother consistently disliked everything. While detailed and enthusiastic about what *they* liked, the mother's negative experience and the author's frustration bring the overall sentiment down to neutral.","Took Mom for dinner Monday night. This was the second time I took her here, and it'll be the last! G..."
2,2,"The review expresses significant dissatisfaction with the service over a prolonged period, despite previously being a loyal customer and enjoying the food. The repeated negative experiences with the bartender outweigh the positive aspect of the food quality.",I am a very loyal customer to pure sushi and have been for over 2 years now. Up until about 6 months...
3,4,"The review is largely positive, praising the staff and anime prices/availability. The removal of D&D products is a significant negative, but the overall tone remains positive and the author states they like this location the most of all Atomic Comics.",The sales people here are very knowledgable and helpful. They are also very friendly and great with ...
1,2,"Highly negative and sarcastic tone, multiple criticisms of food and service, though a begrudging acceptance of its role in filtering clientele suggests a slight reluctance to give a 1-star rating.","Once again, THE TROUGH SLURPERS offer far too many stars to this mundane eatery, proving again that ..."
2,2,"The review expresses initial satisfaction with the food quality but is ultimately very negative due to a hidden delivery fee and poor communication from the delivery driver. The customer states this will likely be their last order, indicating significant dissatisfaction.",We were excited when we found that we could add George and Sons to our delivery list.  The food is g...
5,5,"Extremely positive language throughout, highlighting excellent food, service, and a lively atmosphere. Enthusiastic recommendation ('Love this place!') and positive description ('great little find').","Love this place !

Food is spicy and always cooked just right.  Menu changes every so often and have..."
5,5,"Extremely positive language throughout, enthusiastic praise for the food and service, and a clear recommendation. The reviewer is still thinking about the meal a week later.",I attended a UYE (Unofficial Yelp Event) here and I have to say that Haus Murphy's pretty much wowed...
4,4,"The review is overwhelmingly positive, expressing consistent enjoyment of the food and a reliable experience. Minor complaints (frozen butter, no ranch) don't detract significantly from the overall enthusiasm.","Like Red Robin, Carraba's is my go-to Italian joint that I know I wont be disappointed in.  

I love..."
4,5,"Extremely positive language used throughout the review, praising multiple aspects of the food and atmosphere. Uses words like 'delightfully' and 'fantastic'.","The green chili  pulled pork omelet  was delightfully good.  The coffee was great, and so is the dec..."
4,5,"Highly positive review expressing appreciation for a unique and valuable service, convenient ordering process, and interest in future classes. No negative points are mentioned.",This is one of the only places in Phoenix that carries legitimate book binding supplies like book cl...
3,4,"Mostly positive comments about the gyro and falafel, with a specific complaint about the hummus portion and inconsistent bartender friendliness. Overall leans positive despite the drawbacks.",Their beef gyro's are delicious!  Great portions for what you pay.  And their falafel is really good...
5,5,"Extremely positive language, multiple specific recommendations, and enthusiastic praise throughout the review. The mention of a great deal ('steal!') further reinforces the positive sentiment.",One of my fav sushi places in the Valley.  Great place to take someone who has never tried sushi or ...
4,4,"The review is overwhelmingly positive, praising the pizzeria as a welcome change and highlighting its quality, friendly staff, and convenient location. While there's a playful jab at Chicago-style pizza, it doesn't detract from the positive overall sentiment.","So great to see the occasional NY style pizzeria pop up amid all these chi-town ""pizza"" impersonator..."
3,3,"The review is largely mixed. While there are positives (layout, bouncers, potential for parties), there's significant criticism of the venue's identity and the crowd is described as 'Meh'. The reviewer explicitly states it's an 'A-Okay' not a full recommendation and suggests it *could* reach 4 stars with another visit, indicating current satisfaction is around 3.",I don't know what Bar Smith is trying to be. I feel like instead of just saying okay we are going to...
1,2,"While the reviewer attempts to be positive, the overwhelming sentiment is negative. Multiple issues are raised with the food and service, despite acknowledging friendly staff and a good location. The 'positive sandwich' structure highlights the negative experiences.",I am not a fan of this place. I like to try to stay positive though so here is my attempt a the prov...
5,5,"Extremely enthusiastic and repetitive positive language (""LOVE love LOVE"", ""in love with""), combined with specific praise for drinks and service, indicates a very positive experience.",I LOVE love LOVE Coffee Bean.  I have been in love with Coffee Bean for years.  I am so bummed out t...
3,4,"Mostly positive review highlighting delicious noodles, fast service, huge portions, and cheap prices. The suggestion for adding veggies is a minor critique, not a major detractor.",The noodles are delicious here. I had the vegetarian spicy noodle. It doesn't come with anything but...
1,1,"Extremely negative review with multiple complaints about service, staff, and food, culminating in a definitive statement of not returning.","Long wait for food, waitresses that don't know what they're doing, grumpy hosts, and crappy food tha..."
5,5,"Extremely positive language, multiple compliments (sushi quality, speed, cleanliness, staff), and a strong overall recommendation.","Amazing sushi. Fast, clean, fresh. Friendly staff. Favorites are Arizona, Beauty, Alaska, and Spicy ..."
4,4,"Generally positive review with enthusiastic descriptions of the atmosphere, staff, and sake. The only significant negative is the lack of spice, which doesn't detract enough for a lower rating.","Part 2 of the business trip.  Dinner with the sales team.

We always have fun when out on the road a..."
4,4,"The review explicitly states a 4-star rating and provides mostly positive feedback (cleanliness, speed, spaciousness). While not overwhelmingly enthusiastic, it's a positive experience overall, and the comparison to other Chipotle locations supports the 4-star assessment.","The 4 stars is in comparison to other Chipotle's I've been to, especially in this area.

I have to a..."
4,4,"Positive comments about price and crowd levels indicate a good experience, though lacking strong emotional language for a 5-star rating.","Great place to see a show.  Prices are the best around, and it's never too crowded."
4,4,"Overall positive review despite acknowledging service isn't always perfect. Enthusiastic about the food and drinks, highlighting freshness and quality, and expresses high likelihood of satisfaction.",Usually stop here for breakfast and mimosas. Agreed the service is not always the greatest but who e...
4,3,"The review is mixed. It starts positive, noting cleanliness and amenities, but then details significant inconveniences (long walk, faulty security, slow shuttle). While not overwhelmingly negative, the issues prevent a higher rating.","Nice clean airport with lots of places to shop and lots of food options.  Terminal 4 is nice.

Two t..."
4,5,"Extremely enthusiastic and detailed review, overwhelmingly positive descriptions of the cupcakes and service, minor criticisms are easily outweighed by praise. The reviewer clearly had a fantastic experience.","While doing a bicycle ride to the Orange Table, I pointed to a friend that LuLus Cupcakes was access..."
5,5,"The review is overwhelmingly positive, expressing gratitude and highlighting the unique value the theater provides to the community. It praises the owner's commitment despite financial challenges.",The Harkins Camelview 5 gives Arizonans the unique opportunity to see movies that are normally reser...
4,5,"Extremely positive review with multiple enthusiastic statements about the food, atmosphere, and value. The reviewer explicitly states being 'very impressed' and uses phrases like 'outstanding' and 'Muy delicious!'.",El Taco de Chandler exceeded my expectations.  I've driven past it almost every day for a year.  My ...
3,3,"Mixed review. While there's a positive mention of 'fun night' and 'good service (sometimes)', there are significant negatives (poor pancakes, a bizarre burger issue, and the mention of a 'drunk' clientele). The overall tone is more amused than genuinely satisfied.",Drunk people go here. Service is good depending who you get. The Burger according to one Arik B can ...
