actual_stars,predicted_stars,explanation,review
4,4.0,"The review is overwhelmingly positive, highlighting good food, efficient service for a large group, and a reasonable price. Specific dishes are praised. The tone is enthusiastic. While not effusive, it indicates a very positive experience with only minor potential issues (none explicitly stated).",Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at ...
5,5.0,"The review is overwhelmingly positive, using words like ""great"" repeatedly and highlighting positive aspects like accommodating staff, happy hour prices, and a good atmosphere. The reviewer even addresses a potential negative (music) and explains how it's easily resolved. The final comment about having the 'right mind' is a lighthearted addition, not a genuine complaint. The intensity is strong due to the enthusiastic language.","This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring..."
3,5.0,"The review expresses extremely positive sentiment with the phrase ""Air Jordan! need I say more?"" This implies a very high level of satisfaction and brand recognition. The tone is enthusiastic and confident, indicating a strong recommendation. There are no complaints, only implied praise.",Air Jordan! need I say more?
4,4.0,"The review is overwhelmingly positive, highlighting convenience, good prices, selection, and helpful nearby businesses. The only negative point is a caution about the deli staff, but it's framed with understanding and a suggestion for how to mitigate the issue, rather than a harsh complaint. The acknowledgement of another reviewer's point about parking suggests a minor inconvenience, but not a dealbreaker. The detailed praise of specific items available at this location demonstrates strong satisfaction.",There are many other reviews which extol the virtues of this location. I just wanted to add some of ...
5,5.0,"The review expresses strong gratitude and highlights exceptional customer service – specifically, helpful guidance during an emergency and prompt action to resolve the issue. Phrases like ""very grateful"" and the promise of continued referrals indicate a highly positive experience. There are no complaints, only praise.",TJ was there for me when my water heater broke and started flooding my garage.  He walked me through...
2,3.0,"The review expresses mixed feelings. While the burger itself is deemed 'good' (positive), the high prices and average fries (negative) bring the overall experience down. The tone is neutral to slightly negative, and the intensity of complaints is moderate. The recommendation to 'stick with the burger and skip the rest' suggests it's passable but not exceptional, aligning with a 3-star rating.","So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
Th..."
4,3.0,"The review is largely mixed. While the reviewer acknowledges the quality of Neiman Marcus's products, they express discomfort with the store's atmosphere and a specific negative experience with the registry process (misspelled name). The overall tone is not strongly negative, but leans towards dissatisfaction, and a clear preference for other department stores is stated. This suggests a neutral to slightly negative experience, fitting a 3-star rating.","I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel c..."
4,4.0,"The review is mostly positive, highlighting a helpful option ('petite' burger) for calorie-conscious diners. While it mentions the high calorie count of the regular burger and fries (a negative point), the overall tone is appreciative and provides a useful tip. The intensity is moderate – it's not ecstatic praise, but a solid recommendation for a specific need. There are no severe complaints.","I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""peti..."
5,5.0,"The review uses overwhelmingly positive language (""Great,"" ""awesome,"" ""must have""). The exclamation points further amplify the positive sentiment. There are no complaints, only enthusiastic praise for both the pizza and the guacamole appetizer. This indicates a highly positive experience.",Great pizza and awesome must have guacamole pizza appitizer!!!!
5,4.0,"The review is mostly positive, highlighting the airport's convenience and speed (20 minutes from landing to rental car). While it acknowledges the limited airline options (Allegiant only) and suggests avoiding onboard snacks, these are minor inconveniences. The tone is generally appreciative, despite the slightly quirky description of the airport and its destinations. The 'quaint' and 'convenient' descriptors are positive indicators.",This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa are...
5,4.0,"The review is overwhelmingly positive, praising the burger's taste and noting improvement with the fries. The complaints (styrofoam cups, drink size, messiness) are minor inconveniences rather than dealbreakers. The tone is enthusiastic and the reviewer explicitly states they weren't disappointed, indicating a strong positive experience.",Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burg...
5,4.0,"The review is overwhelmingly positive, praising the food quality, taste, value, and staff friendliness. The primary drawback is the location and ambiance (being in a casino), but the reviewer explicitly states it's 'worth a visit' despite this. The consistent positive experiences ('20 times and still never had a bad dish') and reasonable pricing contribute to a strong positive sentiment, though the casino setting prevents a full 5-star rating.",Simple but really great cajun food prepared in steamers right in front of you.  Selections include g...
1,1.0,"The review is overwhelmingly negative, citing rude staff, unclear pricing, overpriced activities, uncomfortable temperatures, and malfunctioning equipment. The intensity of the complaints is strong, with words like 'rude,' 'extreme' (used negatively), and 'malfunctioned' indicating significant issues. The reviewer explicitly states they won't return, solidifying a very poor experience.","Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling ..."
4,4.0,"The review is overwhelmingly positive, highlighting excellent staff service (helpful, friendly, knowledgeable) and a fantastic pool area. The room is described as 'okay' - clean and updated, but with a noise issue. The banquet food is 'good' with minor complaints about saltiness, but the break service is 'astonishing'. These minor issues don't detract significantly from the positive experiences, leading to a 4-star rating.",The staff is really helpful.  I arrived without credit card due to a travel mishap and they were gre...
4,4.0,"The review is overwhelmingly positive, highlighting fresh, hot food cooked to order, friendly service, and delicious onion rings and a burger. The tone is enthusiastic and includes a stated intention to return. The only minor aspect preventing a 5-star rating is the lack of extensive detail – it's a good review, but doesn't go *above and beyond* in describing the experience.","Someone asked the question in the Yelp talk threads where the best place was for fried things, like ..."
4,4.0,"The review is overwhelmingly positive. Sentiment indicators include ""tasty,"" ""fully satisfied,"" ""perfectly cooked,"" ""refreshing,"" and ""good option."" While they didn't get burritos (a slight deviation from expectation), the specific praise for the pork and horchata is strong. The comment about value (""without breaking your wallet"") adds to the positive impression. Intensity is moderate to strong, leaning towards strong with the descriptive language used. There are no complaints, only a mention of not ordering the restaurant's namesake dish.","After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of ..."
1,2.0,"The review expresses a negative sentiment with the phrase ""way too high!"" indicating dissatisfaction with pricing. While concise, the intensity is moderate to strong due to the use of ""way."" There are no redeeming qualities mentioned. This suggests significant problems with value, leading to a 2-star rating.",Prices are often way too high!
4,4.0,"The review is overwhelmingly positive, highlighting good value (2 for $13.99 special, happy hour), fast and friendly service, and tasty food (especially the chop steak, steak, and salmon). The only negative points are the price of the first drink in the 2-for-1 deal and a comment about it not being 'classy' or having 'the best food,' but these are mild criticisms and are balanced by numerous positives. The reviewer's expectations were exceeded, and they express a clear fondness for several aspects of the restaurant.",I have been to this place twice so far.  The first time I had no idea what to expect since I never h...
2,2.0,"The review is largely negative. A key tool (wood saw) is frequently unavailable, and prices are higher than a competitor. While the garden department and checkout speed receive neutral/slightly positive comments, the 'strange' staff and overall 'Meh' tone indicate significant dissatisfaction. The issues outweigh the positives.","The wood saw is always out of service...
The garden department is nice, but the staff is a little st..."
2,2.0,"The review is overwhelmingly negative due to extremely poor service – long waits, lack of basic amenities, and unprofessional server behavior (dumping/throwing items). While the food, specifically the burrata, receives praise, it's insufficient to offset the terrible service experience. The lack of any attempt to compensate for the issues further contributes to the negative assessment. The reviewer hopes the experience was an anomaly, suggesting it's not representative of the restaurant's usual standard, but the immediate experience was significantly flawed.",I've never been to a restaurant where we (a party of 6 with a reservation) sat at a cleared table wi...
1,1.0,"The review is overwhelmingly negative, detailing significant issues with all three dishes ordered (Mongolian beef, Kung Po chicken, and Pad Thai). Words like ""bland,"" ""non existent,"" ""Blah,"" ""dry,"" and ""clump"" indicate strong dissatisfaction. The reviewer explicitly states they will not return and recommends others go elsewhere. The need to add peanut sauce to make the Pad Thai edible highlights a major failing. This points to a very poor experience.","My wife and I live around the corner, hadn't eaten here in a few months. We got food for take out, M..."
1,2.0,"The review is overwhelmingly negative, filled with frustration and annoyance. While the writer attempts humor, the core experience was riddled with issues: no pay-at-the-pump, a confusing payment system, a strange nozzle obstruction, and a malfunctioning receipt printer. The tone is sarcastic and angry ('Stupid ampm station,' 'Screw this'). The disclaimer, while humorous, underscores the writer's feeling of being unfairly inconvenienced. The intensity is strong due to the repeated expressions of frustration and the vow to never return. There is no praise offered.","Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moro..."
3,4.0,"The review is mostly positive. While the location is noted as not great and the slaw needs improvement, the pulled pork is highly praised (8/10) and the beans are good despite a slight spice. The reviewer explicitly states they will return, indicating a positive overall experience. These factors suggest a rating of 4 stars – mostly positive with minor issues.","Found this place by accident.  Not the greatest location.

The pulled pork rates about an 8 on my sc..."
4,4.0,"The review is overwhelmingly positive, filled with enthusiastic language (""cutest place ever,"" ""countrilicous,"" ""good,"" ""sturdy and aromatic""). While there's acknowledgement of a 'yuppified' clientele and a humorous aside about omelette-related trauma, these don't detract significantly from the praise. The reviewer clearly has a strong fondness for the breakfast and the quirky atmosphere. The tone is lighthearted and playful, indicating a very positive experience. The minor comments don't bring the rating down to a 5 as they are more observational than critical.",I'm a little bit country. I'm a little bit rock n roll...thank you Donny and Marie. Pinnacle Peak Ge...
5,5.0,"The review is overwhelmingly positive, using strong language like ""cleanest,"" ""most efficient EVER,"" ""absolutely,"" and highlighting consistent cleanliness and employee friendliness. The reviewer explicitly contrasts this Subway favorably with others, stating they ""can't say that about many Subways."" There are no complaints, only praise for the orderliness and pride in work shown by the staff. This indicates a highly positive experience and a strong recommendation.","This subway is one of the cleanest, and most efficient subways I have EVER been to.  I've only been ..."
5,5.0,"The review is overwhelmingly positive, using phrases like ""family vibe,"" ""down to earth,"" ""friendly vibe,"" and explicitly stating a recommendation to friends and family. The reviewer highlights multiple positive aspects of the shop – the artists, the atmosphere, and the importance of consultation/portfolio review. There are no complaints, only encouragement. The tone is enthusiastic and reassuring, particularly addressing potential anxieties about tattoo shops.",I agree with the other reviewers.. Ink bomb is definitely a shop that has a family vibe. All the tat...
5,5.0,"The review is overwhelmingly positive, using strong sentiment indicators like 'simply the best,' 'perfect,' and 'consummate.' The praise is specific (Mozzarella, Tomato, Basil sandwich, focaccia bread texture) and enthusiastic. The only negative element is a wistful comment about distance, which doesn't detract from the food's quality.","Simply the best sandwiches I have ever tasted.

The Mozarella, Tomato, Basil is perfect. The focacci..."
5,4.0,"The review is mostly positive. The reviewer explicitly states they 'really liked' the chicken and waffles and would 'definitely go back' for the same. The lemonade was also enjoyed. While there are complaints about portion sizes for the price and a negative comment about the Reese's pancakes, these are relatively minor. The wait time and crowding are acknowledged but not heavily criticized. The overall tone is enthusiastic despite the few drawbacks.","Went here today Sunday about 8:50 and it was crowded but not to bad, about 1/2 hour wait. Im warning..."
4,4.0,"The review is overwhelmingly positive, praising the brisket and ribs as 'delicious' and the beans as 'loved'. The root beer also receives strong positive feedback ('YUM'). The only negatives are a preference against cafeteria-style ordering and the ribs needing added sauce, and a differing opinion on the coleslaw – all relatively minor issues. The warning about the long wait time is informational, not a complaint about the food itself. The intensity of the positive comments is moderate to strong, while the negatives are mild.","Great BBQ, although not a huge fan of the cafeteria style ordering. I have been twice, I got the bri..."
2,1.0,"The review uses extremely negative language (""wasted,"" ""never again"") indicating a very poor experience. The tone is highly dissatisfied and there are no redeeming qualities mentioned. This points to a 1-star rating.",Well I just wasted 38 bucks....never again
3,2.0,"The review is overwhelmingly negative, consistently comparing the restaurant unfavorably to competitors (Capital Grille, Craftsteak, 1130, Ruth's Chris, IHOP). While service is noted as 'great' at dinner and 'fine' at breakfast, the food quality is described as 'mediocre,' 'overpriced,' and consistently worse than alternatives. The tone is disappointed and critical, with phrases like 'nothing blew my socks off' and 'Come on, Hilton!'. The intensity is moderate to strong due to the repeated negative comparisons and the $120 value assessment.","While staying at The Pointe Hilton Tapatio, we decided to eat here for our anniversary dinner. To su..."
1,2.0,"The review expresses strong dissatisfaction with the food quality, specifically the steak, despite acknowledging excellent service. The cramped seating and unpleasant surrounding conversations further detract from the experience. While past experiences were positive, this visit was significantly negative, leading to a low overall rating. The comparison to higher-end steakhouses highlights the perceived value discrepancy.","I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attenti..."
1,2.0,"The review is overwhelmingly negative, using extremely strong and disturbing language (comparing the venue to 'To Catch A Predator' and referencing 'pervert skin'). While there are a few minor positives mentioned (appeal to under-21s, decent DJ music), they are heavily overshadowed by the intensely negative impressions of the clientele and drink quality. The overall tone is sarcastic and critical, indicating a poor experience. The categorization of patrons into three unflattering types further reinforces the negative sentiment.",Some of my friends brought me here last night and the first thing that came into my mind was that th...
3,3.0,"The review is largely a humorous recounting of getting lost, filled with frustration and self-deprecating humor. While the author clearly experienced a negative situation (getting lost, long hike), the tone is more comedic than angry. There's praise for the view initially, but the overall experience is presented as a cautionary tale. The intensity is moderate – strong frustration is expressed, but it's delivered with a lighthearted tone. The complaints center around poor trail marking and a misleading layout, but it doesn't seem to have ruined the trip entirely, just made it significantly more challenging and stressful.","Uh-oh. Where am I? 

The view from atop the mountain is superb. The city can be seen in all directio..."
4,4.0,"The review is overwhelmingly positive, using strong positive descriptors like ""to die for,"" ""wonderful,"" and ""great."" The only slight drawback mentioned is the price, but the reviewer acknowledges this is expected for a W Hotel and doesn't strongly detract from the experience. The welcoming atmosphere and lack of strict dress code are also highlighted as positives. Therefore, a 4-star rating is appropriate, indicating mostly positive feedback with a minor price concern.","Mmmmm, Mmmmmm, Great food.  The popcorn shrimp here are to die for-they leave a wonderful lasting im..."
4,5.0,"The review is overwhelmingly positive. Words like ""rocks"", ""bargain"", ""best"", ""friendly"", and ""kind"" indicate strong positive sentiment. The reviewer specifically praises the food quality, spice level, staff, and price. Even the playful comment about sticking to red/yellow curries reinforces a positive experience. There are no complaints, only enthusiastic praise, making a 5-star rating appropriate.","Decor  functional 
Staff friendly and are really kind to our toddler
food rocks  within my  limited ..."
4,4.0,"The review is overwhelmingly positive, highlighting a well-organized store, friendly staff, and a good selection of quality products. While the reviewer notes prices can be high without the coupon, the coupon mitigates this issue. The reviewer's intention to return and the 'Thanks' at the end further indicate satisfaction. The lack of finding the initial desired item is a minor drawback, not significantly impacting the overall positive experience.","I was looking for a comforter for my new bed when I realized that this B,B, and B was close by so I ..."
5,5.0,"The review is overwhelmingly positive, using strong language like ""ABSOLUTE BEST"" and detailing specific positive attributes of the crab salad (fresh, clean, sweet, crisp, light). The reviewer also praises the iced tea and the setting. The tone is enthusiastic and ends with a strong recommendation (""Go there...Eat there...you will like it...""). There are no complaints.",I had lunch today at CASK 63 with a banker to discuss our collective power to create business in the...
4,4.0,"The review is overwhelmingly positive, highlighting excellent food quality (especially the seared tuna and rolls), fair pricing, and a pleasant experience despite minor interior quirks. While the reviewer acknowledges mixed Yelp reviews and a slightly strange interior, these are presented as minor issues. The strong positive language ('divine,' 'happy,' 'absolutely fair,' 'huge,' 'flavorful,' 'tender') and the stated intention to return indicate a high level of satisfaction. The 'Ichi the Killer Roll' comment is playful, not critical. Therefore, a 4-star rating is appropriate, reflecting mostly positive feedback with minor caveats.","While I'm a sushi fan, my husband is a sushi FIEND - we made biweekly trips to his favorite haunt in..."
1,1.0,"The review is overwhelmingly negative, filled with strong negative sentiment (""WORST TAXI SERVICE EVER"", ""wasting my time"", ""costing me money""). The customer experienced a significant delay, leading to a financial loss (non-refundable class fee). The complaints are specific and severe: lateness, getting lost despite being a taxi service, repeated unnecessary calls, and ultimately, failing to provide the service requested. The intensity is very strong due to the financial impact and frustrated tone.","If you have to be some place on time, don't use them.  I called at 2pm for a 4:15 taxi to arrive.  A..."
1,1.0,"The review expresses overwhelmingly negative sentiment. Strong negative descriptors like ""awful,"" ""bad,"" and ""greasy"" are used repeatedly. Specific complaints include incorrect meat in a dish (lemon chicken being pork), poorly made wontons, and low-quality lo mein and eggrolls. The reviewer explicitly states they will go to Panda Express instead, indicating a very low opinion of the current restaurant. The initial positive sentiment regarding previous ownership is overshadowed by the current experience.",When owners/staff changed we kept hoping for the best.  (The friendly owners/cooks of the previous r...
3,3.0,"The review expresses a generally positive sentiment *relative* to Denny's, but qualifies it as 'okay' and 'not the best'. The preference for Waffle House over Denny's is a positive, but the overall tone is lukewarm. It's a mixed review indicating an acceptable experience, but not a highly enthusiastic one.",I like it better then Denny's so I stop on by to get some breakfast. It's okay not the best place in...
4,4.0,"The review is overwhelmingly positive, using words like ""thrilled,"" ""awesome,"" and ""decent"" multiple times. The unique atmosphere is heavily praised, and while the food isn't described as exceptional, it's considered ""fairly decent."" The only minor aspect is that the food is not the primary draw, but the experience is. The exclamation points and enthusiastic tone contribute to a strong positive sentiment.","Neat!!!!!!!!!!!!!!!!

This place is like a trip to a non-petting zoo and aquarium and aviary while y..."
4,4.0,"The review is overwhelmingly positive despite acknowledging the restaurant is 'a bit shabby'. Strong positive indicators include 'delicious' food, 'friendly' staff, and willingness to 'fix' issues. 'Decent' prices are neutral. The long-term patronage ('years') suggests consistent satisfaction. The slight drawback of the ambiance doesn't significantly detract from the overall positive experience, making it a solid 4-star establishment.","I've been going to this place for years, and they have always stayed true to their own style.  The p..."
4,4.0,"The review is largely positive, despite some food criticisms. The initial breakdown averages to a 4, and while individual items like the burger are 'nothing spectacular,' the beer selection and knowledgeable staff are highly praised. The 'check-in deal' boosts the overall experience. The sampler warning and beer recommendations demonstrate engagement and a positive experience with the beer offerings. While the food isn't a standout, the beer and atmosphere elevate the experience to a solid 4 stars.","Beer is almost a 4, food is a 3, service was a 4.5.  + Check in deal makes it a 5.  Add that up and ..."
3,3.0,"The review expresses mixed feelings. There's strong positive sentiment towards the layout and view, and a desire to support the business. However, the high drink prices and limited options are significant negatives, and there's uncertainty about the 'dance club' concept. This balances out to a neutral/mixed experience, warranting a 3-star rating.","I love the layout of this outdoor bar. However, the price of drinks here and the lack of well option..."
5,4.0,"The review is overwhelmingly positive despite a minor drink order error. Strong positive descriptors like 'melted in my mouth,' 'so worth it,' 'great atmosphere,' 'good service,' 'great food,' and 'fun atmosphere' dominate. The intensity of the praise is strong. The drink mistake is acknowledged but framed positively ('happy about the mistake'). The comment about the bread pudding is humorous and doesn't detract from the overall positive experience. Flexible hours are also a plus. Therefore, a 4-star rating is appropriate, acknowledging the minor issue but emphasizing the excellent overall experience.","The waiter got the drink wrong: ""up"" means served strained without ice, not on the rocks, but I was ..."
5,5.0,"The review is overwhelmingly positive, using strong sentiment indicators like ""in love,"" ""super delicious,"" and ""yummm."" The tone is enthusiastic, and the reviewer explicitly states they ""can't wait to go back."" The mention of specific flavors and toppings further reinforces the positive experience. There are no complaints, only praise, and the price is noted as ""inexpensive,"" adding to the positive assessment.",I am in love with Yogurtland fro yo!!  It is super delicious and inexpensive!!  I got the coconut an...
5,5.0,"The review is overwhelmingly positive. Strong sentiment indicators include 'never been disappointed,' 'excellent service,' 'friendly,' and 'with a smile.' The reviewer explicitly states they've tried the entire menu repeatedly and have a clear favorite, demonstrating high satisfaction. The intensity is strong due to the repeated positive affirmations and enthusiastic description of the food. There are no complaints whatsoever.",I found this restaurant when they were located in Buckeye. I have tried everything on the menu proba...
1,2.0,"The review expresses significant disappointment with a decline in quality and service compared to past experiences. While there's nostalgia for a positive past, the current experience is heavily criticized with complaints about price increases, portion size reduction, lack of assistance, and poor tea service. The tone is negative and the issues are substantial, warranting a 2-star rating.",We use to visit this Pub 10 years ago because they had a nice English waitress and excellent fish an...
2,1.0,The review details two significant negative experiences: arriving before opening hours and then finding the establishment closed *during* opening hours. The tone is frustrated and the experience clearly prevented the customer from receiving the service they intended. This indicates a severe operational issue and a very negative customer experience.,Writing my 7/29/11 review prompted me to return to this establishment for a manicure. I got there at...
2,2.0,"The review is overwhelmingly negative. While the beans are described as 'ok' (neutral), the primary complaints – under-seasoning, store-bought tortillas, and a stated lack of intent to return – indicate significant dissatisfaction. The comparison to 'better places' further reinforces the negative sentiment. The intensity is moderate to strong due to the definitive statement of not returning.",This place is way under seasoned.  The beans were ok.  I hate that they use store bought tortillas. ...
4,4.0,"The review is overwhelmingly positive, highlighting a fun atmosphere, good bar service, and enjoyable activities (Jenga, dancing, outdoor space). The negative points (bathroom condition) are acknowledged but framed as minor and expected for a 'dive bar' type establishment. The reviewer explicitly states they had a 'blast' and a 'good time' on both visits. While food is not a highlight, it's not presented as a major drawback. The intensity of the positive sentiment is strong, outweighing the mild negative comments.","If you appreciate a good dive bar, you will love this place!  We came here for the first time when o..."
3,3.0,"The review expresses mixed feelings. While acknowledging Target's consistent branding (neutral/slightly positive), the reviewer is disappointed it isn't a 'flagship' store given its location in an upscale shopping center (negative). The strong negative sentiment regarding traffic and parking significantly impacts the overall experience, but the core Target experience itself isn't criticized. This results in a neutral to slightly negative overall impression, leaning towards a 3-star rating.",As Target's go this one is standard fare. That consistency is part of their brand recognition. Howev...
4,4.0,"The review is overwhelmingly positive regarding the food (delicious, reasonably sized, good value) and the overall experience is favorable despite a significant negative – the dirty dining room. The reviewer explicitly states they'd give 5 stars if not for the cleanliness issue, aligning with a 4-star rating. The initial anecdote adds a charming, relatable element without detracting from the core assessment.","Let's rewind four years:

""You've never been to Chino Bandido?""
""No, what is it?""
""How long have you..."
2,3.0,"The review is largely mixed. While starting with disappointment (""I REALLY wanted this to be good""), it acknowledges a ""cool concept"" and ""great crust."" However, the core complaints about the pizzas, salad, and gelato being flawed (lacking soul, too salty/soggy, artificial tasting) outweigh the positives. The 'better than Pizza Hut' comment positions it as acceptable, but the expectation gap is significant given the restaurant's branding and price point. This points to a neutral experience with some redeeming qualities but ultimately falling short of potential.","Ahh man,
.....I REALLY wanted this to be good.

But honestly, you end up with something that's more ..."
5,5.0,"The review is overwhelmingly positive, using strong sentiment indicators like ""WOW"", ""WONDERFUL!!!"", and ""BEST I have ever had"". Both entrees received high praise, and the reviewer explicitly states they will make this a ""usual stop"" during future visits. The tone is enthusiastic and highly recommends the restaurant.",WOW what can I say... our friends have eaten here for years and we finally got to eat at Don and Cha...
5,5.0,"The review is overwhelmingly positive. Strong positive sentiment indicators like ""Favorite,"" ""Great,"" ""tender,"" ""Friendly,"" and ""Nom nom"" are present. The reviewer specifically praises the meat quality and expresses intent to return, indicating a high level of satisfaction. There are no complaints, making this a strong recommendation.","Favorite Pho in the phoenix area so far.  
Great, tender meat in my pho chin nam (#8).
I see they al..."
2,2.0,"The review expresses negative sentiment with words like ""wasn't impressed"" and describes specific quality issues (""store bought"" dressing, ""very very mushy"" tomatoes). The intensity is moderate due to the direct complaints, but doesn't indicate a complete disaster. Therefore, a 2-star rating is appropriate.",Wasn't impressed. Dressing tasted like a store bought bottle dressing and tomatoes very very mushy.
4,4.0,"The review is overwhelmingly positive, highlighting a 'great time,' 'cool' atmosphere, tasty apps, awesome service, and a clear intention to return. The only negative point is a mild dislike for the calamari, which is framed as a matter of preference ('not our style') rather than a quality issue. The intensity of the positive sentiment is moderate to strong, justifying a 4-star rating.",This review is specifically for my experience at Trader Vic's last night (a Saturday night) for Happ...
3,3.0,"The review is mixed. While the reviewer explicitly states the 3 stars are *solely* for the veggie sandwich (positive), they also detail significant service issues – slow turnaround and only one staff member. The suggestions for workarounds (pre-order, delivery) indicate acceptance of these issues rather than strong dissatisfaction, leading to a neutral overall rating. The tone is generally pragmatic and slightly humorous ('A girls gotta eat! :)'), further supporting a 3-star assessment.","I'm giving the 3 stars solely for 1 reason: 
The veggie sandwich! 

There's normally only 1 person w..."
2,2.0,"The review expresses a strong negative sentiment regarding the current state of the restaurant, contrasting it with a positive past experience. While acknowledging a good past, the present is described as a significant decline ('DOWNHILL, big time') directly linked to franchising. The sarcastic name suggestion further emphasizes dissatisfaction. The intensity is strong, but the nostalgia for a past positive experience prevents a 1-star rating.","Years ago, and I do mean years ago, their Mill Avenue location in Tempe, was outstanding.

As they e..."
5,4.0,"The review is overwhelmingly positive, using phrases like ""doesn't get any better,"" ""truly unique,"" ""good, tasty, and satisfying."" The pros list is substantial and positive. The only con is the small interior, which is a minor issue. The tone is enthusiastic and the intensity is strong in its praise, despite acknowledging the humble nature of the establishment. The detailed description of the pasty and specific recommendations further indicate a positive experience.",Really?  Because it doesn't get any better than this.  For what it is and for what it's worth this p...
4,4.0,"The review is overwhelmingly positive, using words like 'great,' 'nice,' 'coolest,' 'awesome,' and 'fabulous.' While it acknowledges another bar ('Charlie's') is also good, it clearly positions Oz as a preferred choice. The praise is specific (Booker, jukebox, Stephanie Ann, prices, location) and enthusiastic. The tone is lighthearted and affectionate. The only minor aspect preventing a 5-star rating is the comparison to another bar, suggesting it's not *uniquely* excellent, but a strong alternative.","Oz is a great local bar and a nice change from the bumping Charlie's (which, don't get me wrong, is ..."
3,3.0,"The review is mixed. There's strong positive sentiment towards the atmosphere and customer service, but a significant negative regarding the value of the steak (price vs. quality and lack of included side). The 'don't think I will be eating here again' statement is a strong indicator of dissatisfaction despite the positives, leading to a neutral overall rating.","Love the atmosphere and how trendy rhus place is, reminds me of Nip/tuck kinda, the way they have it..."
5,5.0,"The review is overwhelmingly positive, using words like ""terrific,"" ""great,"" and highlighting the ease and community benefit of the donation program. There are no complaints, only praise for the process and the people at the location. The tone is enthusiastic and appreciative, indicating a strong positive experience.",I dropped off a ton of things here when I was liquidating my life in this town and it was a terrific...
